word,day_427,day_428,day_429,day_430
abstractness,76510,72919,79579,38135
abstruse,55824,39379,70694,57387
absurd,9913,41239,17801,15676
absurdist,63911,68529,73114,40230
absurdity,30893,49231,47873,24539
absurdly,13762,47103,30012,12185
absurdum,64472,39451,60557,22032
abt,10359,37657,18583,29389
abu,14753,32975,5151,43982
abundance,3222,10086,1158,4215
abundant,3155,12443,1110,6480
abundantly,21336,43772,16415,12189
abusable,81197,81656,44914,55502
abuse,12715,7284,4778,5242
abuser,41572,20694,28766,7364
abusive,22957,15257,20983,13370
abusively,64435,77002,72491,16847
abusiveness,81324,72578,65639,43221
abut,20890,15959,12119,30182
abutment,51387,25266,38137,21697
abuzz,25277,60592,21568,74506
aby,34779,25894,38612,26344
abysmal,22884,54803,22475,53499
abysmally,48150,56374,69428,44179
abyss,23702,12488,15446,34362
abyssinia,34682,52272,74615,34191
abyssinian,38525,2636,46057,11284
abyssinians,80110,50642,69511,59922
ac,13350,17408,8037,4548
acacia,17985,11558,6406,6925
academe,59169,69298,45469,37939
academia,16349,40432,18703,46886
academic,4522,14503,7846,55564
academical,45857,43451,68049,77644
academically,14294,61875,30611,32278
academician,35066,51304,52831,63177
academie,37720,22103,74761,3905
academy,3358,2905,2137,10321
acadia,15822,13474,6454,57961
acadian,18363,49718,16669,74408
acanthus,45620,17326,55865,51090
acappella,28179,45102,49917,43777
acapulco,6962,63859,568,21317
acc,9255,12429,13423,39252
acca,63321,17230,28217,8139
accademia,25632,53830,21691,66463
accede,28604,53273,56626,54779
accel,55051,18150,60713,67759
accelerant,43464,23073,68628,17917
accelerate,22246,12372,17817,14200
acceleration,25146,14343,18304,48193
accelerator,32288,9649,22965,8992
accelerometer,44800,20470,58960,50657
accent,5836,2113,8807,9527
accentuate,14849,14930,18174,10419
accentuation,79589,61686,76216,38261
accept,1795,6586,5272,8775
acceptability,54332,79357,50802,53766
acceptable,2872,18916,5183,4358
acceptably,26314,54220,40094,45714
acceptance,9713,19187,9866,17387
acceptation,74962,59185,56382,67411
acceptor,21540,60651,58683,28473
access,3677,6842,768,16381
accessability,78540,72169,53933,79609
accessable,30683,53797,12780,26914
accessibility,18820,15653,5804,33498
accessible,3903,11671,548,6593
accessibly,61384,71687,31769,60626
accession,36177,29727,37959,44411
accessor,50282,65014,35344,25402
accessorize,22645,25457,23887,10331
accessorized,22786,45957,34627,32332
accessors,59043,64414,50129,55825
accessory,4234,3464,3292,869
accident,7778,7509,2749,3124
accidental,16035,15612,9164,15353
accidentally,6155,2886,11418,7588
accidently,14103,6349,31893,6409
accipiter,60233,44535,80268,80473
acclaim,3699,11229,4292,29944
acclamation,39225,52651,32099,66264
acclamations,40613,70266,69653,68953
acclimate,32292,30470,40914,23836
acclimation,24152,43668,44828,57149
acclimatisation,19167,54240,58779,65019
acclimatised,60045,77961,67426,72559
acclimatization,17231,61899,34465,45522
acclimatize,34007,42985,37135,31080
accolade,6495,10646,11092,5154
accommodate,910,13609,5268,23641
accommodation,535,15508,172,11720
accommodative,53649,50302,64457,37245
accomodate,3402,32642,21229,37199
accompaniment,1402,55566,14478,19662
accompanist,10123,66649,45002,55268
accompany,224,5915,3742,10982
accompli,31983,51068,67008,56842
accomplice,19799,62950,44571,66322
accomplish,3388,14417,7637,13309
accomplishment,5475,11511,11381,51952
accord,2355,13858,2592,7514
accordance,14829,25116,15052,22114
accordant,59396,79035,62688,28957
accordingly,4652,24329,13764,13646
accordion,11943,19759,24147,63288
accordionist,34801,78563,70012,80731
accordionists,65595,65019,59149,79614
accost,24959,36509,36626,35460
account,5212,15227,7778,11952
accountability,15236,27077,21354,42015
accountable,10375,21441,24903,10869
accountancy,34408,25450,20580,21176
accountant,19415,24139,9762,16759
accounting,8865,22560,11049,17153
accouterments,33630,74843,46921,43225
accoutrement,12707,30160,29001,7574
accra,16995,42730,5233,35423
accredit,18263,13279,9705,19077
accreditation,18252,9007,17708,25138
accrete,46181,62799,34311,73519
accretion,36491,56561,21102,24409
accretive,70362,53095,53971,12967
accrual,25556,43317,46134,19756
accrue,19221,34266,32625,27252
acct,18951,47666,53988,60363
